         Reward           Loss         Length
         16.000          0.000             16
         31.000          0.000             31
         10.000          0.000             10
         45.000          0.000             45
         12.000          0.000             12
         16.000          0.507             16
         19.000          0.378             19
         18.000          0.194             18
         13.000          0.081             13
         32.000          0.022             32
         35.000          0.006             35
         73.000          0.005             73
         22.000          0.006             22
         18.000          0.008             18
         35.000          0.008             35
         13.000          0.010             13
         19.000          0.012             19
         12.000          0.014             12
         12.000          0.019             12
         18.000          0.019             18
         12.000          0.018             12
         21.000          0.024             21
         10.000          0.021             10
         29.000          0.028             29
         15.000          0.032             15
         15.000          0.030             15
         12.000          0.042             12
         16.000          0.038             16
         34.000          0.039             34
         17.000          0.040             17
         34.000          0.048             34
         17.000          0.045             17
         16.000          0.053             16
         15.000          0.048             15
         31.000          0.057             31
         13.000          0.069             13
         26.000          0.069             26
         24.000          0.067             24
         11.000          0.079             11
         20.000          0.081             20
         13.000          0.072             13
         32.000          0.083             32
         24.000          0.084             24
         47.000          0.093             47
         54.000          0.089             54
         72.000          0.099             72
         10.000          0.114             10
         11.000          0.122             11
         23.000          0.088             23
         16.000          0.100             16
         20.000          0.121             20
         46.000          0.108             46
         22.000          0.122             22
         45.000          0.123             45
         22.000          0.104             22
         38.000          0.119             38
         13.000          0.105             13
         24.000          0.128             24
         33.000          0.135             33
         52.000          0.130             52
        131.000          0.128            131
        145.000          0.140            145
         34.000          0.158             34
         40.000          0.130             40
         57.000          0.138             57
         26.000          0.179             26
        199.000          0.154            199
        147.000          0.159            147
         32.000          0.173             32
         39.000          0.174             39
        224.000          0.182            224
        140.000          0.171            140
        350.000          0.203            350
        249.000          0.190            249
        264.000          0.205            264
        240.000          0.193            240
        469.000          0.218            469
        242.000          0.215            242
        276.000          0.236            276
        421.000          0.225            421
        341.000          0.238            341
        255.000          0.266            255
        347.000          0.258            347
        261.000          0.255            261
        204.000          0.244            204
        207.000          0.266            207
        240.000          0.261            240
        253.000          0.275            253
        202.000          0.302            202
        221.000          0.281            221
        238.000          0.263            238
        181.000          0.289            181
        246.000          0.255            246
        240.000          0.272            240
        192.000          0.275            192
        246.000          0.307            246
        214.000          0.300            214
        246.000          0.289            246
        205.000          0.287            205
        303.000          0.331            303
        305.000          0.274            305
        236.000          0.253            236
        232.000          0.274            232
        217.000          0.254            217
        211.000          0.243            211
        263.000          0.206            263
        323.000          0.215            323
        263.000          0.200            263
        214.000          0.225            214
        215.000          0.200            215
        279.000          0.194            279
        233.000          0.195            233
        309.000          0.216            309
        316.000          0.222            316
        257.000          0.218            257
        273.000          0.221            273
        269.000          0.220            269
        374.000          0.225            374
        269.000          0.233            269
        220.000          0.251            220
        209.000          0.232            209
        255.000          0.228            255
        218.000          0.266            218
        188.000          0.288            188
        223.000          0.251            223
        192.000          0.284            192
        214.000          0.302            214
        173.000          0.304            173
        194.000          0.246            194
        161.000          0.256            161
        178.000          0.314            178
        207.000          0.309            207
        182.000          0.307            182
        164.000          0.275            164
        124.000          0.256            124
        143.000          0.295            143
        145.000          0.274            145
        162.000          0.366            162
        151.000          0.307            151
        152.000          0.295            152
        134.000          0.281            134
        134.000          0.288            134
        137.000          0.260            137
        131.000          0.259            131
        117.000          0.397            117
        145.000          0.306            145
        142.000          0.331            142
        145.000          0.323            145
        120.000          0.312            120
        125.000          0.388            125
        124.000          0.425            124
        122.000          0.372            122
        120.000          0.332            120
        108.000          0.364            108
        108.000          0.329            108
        111.000          0.378            111
        119.000          0.322            119
         18.000          0.363             18
         18.000          0.339             18
        115.000          0.370            115
        106.000          0.423            106
         17.000          0.226             17
        113.000          0.393            113
        109.000          0.365            109
        103.000          0.446            103
        105.000          0.420            105
        110.000          0.383            110
        103.000          0.377            103
        108.000          0.457            108
        110.000          0.412            110
        109.000          0.440            109
        103.000          0.442            103
         24.000          0.316             24
         20.000          0.325             20
         19.000          0.231             19
        101.000          0.396            101
         17.000          0.326             17
         18.000          0.546             18
         20.000          0.327             20
         22.000          0.427             22
        100.000          0.472            100
        104.000          0.505            104
         21.000          0.546             21
         18.000          0.514             18
        107.000          0.604            107
         99.000          0.575             99
        108.000          0.494            108
        102.000          0.458            102
         23.000          0.526             23
        103.000          0.459            103
         21.000          0.650             21
         18.000          0.489             18
         96.000          0.557             96
         21.000          0.461             21
         19.000          0.695             19
         20.000          0.437             20
         19.000          0.682             19
         24.000          0.704             24
         99.000          0.547             99
         22.000          0.450             22
         20.000          0.431             20
         23.000          0.647             23
         17.000          0.538             17
         23.000          0.638             23
         23.000          0.768             23
         23.000          0.777             23
         17.000          0.416             17
         19.000          0.527             19
         14.000          0.690             14
        107.000          0.623            107
         23.000          0.668             23
         21.000          0.553             21
         19.000          0.461             19
         21.000          0.742             21
         18.000          0.787             18
         18.000          0.763             18
         22.000          0.846             22
         20.000          0.515             20
         18.000          0.927             18
         19.000          0.524             19
         19.000          0.828             19
         13.000          0.791             13
         17.000          0.778             17
         20.000          0.758             20
         23.000          0.880             23
         21.000          0.713             21
         20.000          0.782             20
         99.000          0.671             99
         19.000          0.753             19
         18.000          1.046             18
        107.000          0.844            107
         14.000          0.714             14
        105.000          0.742            105
        102.000          0.936            102
        100.000          0.844            100
        101.000          0.803            101
        106.000          0.887            106
         17.000          0.756             17
        100.000          0.854            100
         17.000          0.746             17
         12.000          0.997             12
         16.000          0.852             16
        104.000          0.922            104
        109.000          0.826            109
         13.000          1.009             13
        112.000          0.894            112
        110.000          0.806            110
        110.000          0.842            110
        109.000          0.909            109
        120.000          0.888            120
        114.000          0.851            114
        110.000          0.895            110
        108.000          0.953            108
        110.000          0.818            110
        114.000          0.866            114
        115.000          0.839            115
        108.000          0.869            108
        121.000          0.853            121
        119.000          0.867            119
        117.000          0.801            117
        124.000          0.905            124
        121.000          0.798            121
        128.000          0.752            128
        120.000          0.837            120
        122.000          0.916            122
        117.000          0.802            117
        113.000          0.856            113
        125.000          0.868            125
        127.000          0.913            127
        122.000          0.830            122
        118.000          0.929            118
        127.000          0.903            127
        129.000          0.772            129
        125.000          0.854            125
        121.000          0.895            121
        125.000          0.837            125
        120.000          0.895            120
        121.000          0.870            121
        127.000          0.912            127
        127.000          0.825            127
        118.000          0.934            118
        127.000          0.797            127
        132.000          0.880            132
        121.000          0.882            121
        127.000          0.892            127
        123.000          0.829            123
        132.000          0.803            132
        125.000          0.792            125
        125.000          0.898            125
        131.000          0.793            131
        135.000          0.773            135
        123.000          0.785            123
        127.000          0.765            127
        125.000          0.768            125
        124.000          0.788            124
        125.000          0.633            125
        118.000          0.802            118
        118.000          0.743            118
        125.000          0.806            125
        120.000          0.714            120
        117.000          0.717            117
        123.000          0.658            123
        109.000          0.701            109
        129.000          0.653            129
        124.000          0.672            124
        114.000          0.574            114
        136.000          0.550            136
        142.000          0.626            142
        203.000          0.554            203
        187.000          0.611            187
        139.000          0.514            139
        131.000          0.393            131
        140.000          0.416            140
        140.000          0.405            140
        134.000          0.312            134
        142.000          0.256            142
        138.000          0.210            138
        177.000          0.190            177
        149.000          0.188            149
        133.000          0.153            133
        130.000          0.151            130
        139.000          0.150            139
        131.000          0.112            131
        138.000          0.099            138
        141.000          0.086            141
        134.000          0.077            134
        149.000          0.069            149
        136.000          0.061            136
        145.000          0.056            145
        159.000          0.062            159
        249.000          0.048            249
        241.000          0.039            241
        201.000          0.042            201
        199.000          0.041            199
        182.000          0.051            182
        230.000          0.050            230
        142.000          0.036            142
        166.000          0.049            166
        145.000          0.080            145
        139.000          0.086            139
        146.000          0.091            146
        128.000          0.084            128
        130.000          0.102            130
        132.000          0.119            132
        126.000          0.143            126
        133.000          0.131            133
        121.000          0.114            121
        134.000          0.148            134
        133.000          0.146            133
        133.000          0.180            133
        125.000          0.249            125
        123.000          0.216            123
        134.000          0.180            134
        131.000          0.197            131
        136.000          0.205            136
        122.000          0.213            122
        131.000          0.266            131
        133.000          0.269            133
        133.000          0.291            133
        129.000          0.315            129
        129.000          0.291            129
        126.000          0.336            126
        126.000          0.313            126
        129.000          0.339            129
        133.000          0.331            133
        130.000          0.333            130
        141.000          0.427            141
        128.000          0.325            128
        138.000          0.337            138
        136.000          0.323            136
        133.000          0.385            133
        136.000          0.440            136
        141.000          0.464            141
        133.000          0.377            133
        127.000          0.370            127
        134.000          0.360            134
        138.000          0.428            138
        130.000          0.405            130
        129.000          0.492            129
        128.000          0.548            128
        132.000          0.501            132
        130.000          0.431            130
        135.000          0.562            135
        135.000          0.461            135
        139.000          0.505            139
        138.000          0.531            138
        143.000          0.528            143
        128.000          0.558            128
        143.000          0.522            143
        140.000          0.488            140
        133.000          0.544            133
        166.000          0.588            166
        142.000          0.460            142
        135.000          0.595            135
        134.000          0.628            134
        137.000          0.650            137
        145.000          0.588            145
        134.000          0.571            134
        128.000          0.584            128
        139.000          0.611            139
        138.000          0.634            138
        141.000          0.567            141
        139.000          0.526            139
        123.000          0.658            123
        142.000          0.609            142
        120.000          0.572            120
        129.000          0.546            129
        131.000          0.645            131
        125.000          0.667            125
        136.000          0.646            136
        131.000          0.680            131
        127.000          0.552            127
        140.000          0.714            140
        131.000          0.586            131
        126.000          0.618            126
        127.000          0.652            127
        145.000          0.582            145
        133.000          0.725            133
        136.000          0.691            136
        137.000          0.634            137
        133.000          0.621            133
        132.000          0.660            132
        123.000          0.709            123
        122.000          0.552            122
        125.000          0.668            125
        142.000          0.563            142
        126.000          0.649            126
        125.000          0.721            125
        127.000          0.524            127
        123.000          0.577            123
        139.000          0.591            139
        129.000          0.594            129
        126.000          0.613            126
        125.000          0.526            125
        130.000          0.617            130
        129.000          0.517            129
        135.000          0.485            135
        127.000          0.485            127
        134.000          0.541            134
        122.000          0.565            122
        134.000          0.493            134
        124.000          0.592            124
        127.000          0.578            127
        133.000          0.481            133
        140.000          0.584            140
        132.000          0.526            132
        132.000          0.542            132
        140.000          0.493            140
        129.000          0.465            129
        131.000          0.428            131
        134.000          0.585            134
        125.000          0.508            125
