         Reward           Loss         Length
       -500.000          1.146            500
       -500.000          0.026            500
       -500.000          0.028            500
       -500.000          0.037            500
       -500.000          0.059            500
       -500.000          0.036            500
       -500.000          0.040            500
       -398.000          0.118            399
       -500.000          0.311            500
       -500.000          0.282            500
       -344.000          0.311            345
       -297.000          0.416            298
       -209.000          0.577            210
       -231.000          0.530            232
       -205.000          0.690            206
       -400.000          0.696            401
       -385.000          0.757            386
       -238.000          0.792            239
       -265.000          0.856            266
       -229.000          0.840            230
       -230.000          0.871            231
       -231.000          0.879            232
       -299.000          0.983            300
       -246.000          1.041            247
       -245.000          1.023            246
       -277.000          1.027            278
       -124.000          1.060            125
       -194.000          1.058            195
       -263.000          1.166            264
       -165.000          1.166            166
       -167.000          1.155            168
       -197.000          1.237            198
       -191.000          1.344            192
       -157.000          1.280            158
       -153.000          1.386            154
       -175.000          1.277            176
       -186.000          1.568            187
       -170.000          1.371            171
       -204.000          1.637            205
       -193.000          1.672            194
       -214.000          1.668            215
       -175.000          1.821            176
       -174.000          1.868            175
       -137.000          1.827            138
       -211.000          1.837            212
       -108.000          2.207            109
       -166.000          1.967            167
       -194.000          1.949            195
       -170.000          1.919            171
       -155.000          2.158            156
       -159.000          2.116            160
       -166.000          2.148            167
       -128.000          2.315            129
       -139.000          2.293            140
       -145.000          2.396            146
       -121.000          2.229            122
       -159.000          2.425            160
       -204.000          2.523            205
       -166.000          2.542            167
       -141.000          2.433            142
       -115.000          2.726            116
       -147.000          2.488            148
       -129.000          2.568            130
       -238.000          2.605            239
       -186.000          2.443            187
       -166.000          2.550            167
       -111.000          2.521            112
       -481.000          2.575            482
       -139.000          2.481            140
       -168.000          2.664            169
       -205.000          2.654            206
        -89.000          2.952             90
       -158.000          2.597            159
       -118.000          2.634            119
       -167.000          2.600            168
       -116.000          2.696            117
       -119.000          2.577            120
       -177.000          2.702            178
       -113.000          2.899            114
       -127.000          2.763            128
       -160.000          2.770            161
       -137.000          2.644            138
       -104.000          2.872            105
       -143.000          2.750            144
       -113.000          2.714            114
       -159.000          2.711            160
       -152.000          2.650            153
       -163.000          2.812            164
       -109.000          2.647            110
       -117.000          2.870            118
       -103.000          2.894            104
       -100.000          2.816            101
       -101.000          2.879            102
        -96.000          2.871             97
       -134.000          2.936            135
       -109.000          2.911            110
        -99.000          2.790            100
        -95.000          2.875             96
       -114.000          2.877            115
       -154.000          2.755            155
       -153.000          2.859            154
        -89.000          2.856             90
        -92.000          3.072             93
       -112.000          2.964            113
        -82.000          2.853             83
       -118.000          2.940            119
        -84.000          2.906             85
       -122.000          3.011            123
        -70.000          2.960             71
       -100.000          2.973            101
       -112.000          2.999            113
       -113.000          2.961            114
       -126.000          3.048            127
        -85.000          3.017             86
       -121.000          2.954            122
        -96.000          3.002             97
       -130.000          3.007            131
       -131.000          3.009            132
       -107.000          2.983            108
       -123.000          3.035            124
        -95.000          2.968             96
       -114.000          2.939            115
       -121.000          2.959            122
       -134.000          2.948            135
        -81.000          2.979             82
       -136.000          2.927            137
        -94.000          2.973             95
       -131.000          3.040            132
       -154.000          2.882            155
       -102.000          3.000            103
       -102.000          2.890            103
       -126.000          2.980            127
       -111.000          2.741            112
       -101.000          2.814            102
        -83.000          3.062             84
        -94.000          2.800             95
       -100.000          2.851            101
        -98.000          2.735             99
       -100.000          2.835            101
        -93.000          2.839             94
        -99.000          2.760            100
       -152.000          2.667            153
        -92.000          2.668             93
        -88.000          2.562             89
        -97.000          2.710             98
       -116.000          2.752            117
       -116.000          2.717            117
        -92.000          2.766             93
        -90.000          2.671             91
       -100.000          2.622            101
       -105.000          2.593            106
       -112.000          2.547            113
        -93.000          2.497             94
        -90.000          2.546             91
        -85.000          2.471             86
       -118.000          2.492            119
       -115.000          2.422            116
       -110.000          2.319            111
        -99.000          2.179            100
        -90.000          2.236             91
       -106.000          2.126            107
        -98.000          2.140             99
        -90.000          2.057             91
        -87.000          1.997             88
        -99.000          1.965            100
       -108.000          1.962            109
       -134.000          1.936            135
       -112.000          1.917            113
       -122.000          1.892            123
        -96.000          1.910             97
        -89.000          1.821             90
        -89.000          1.808             90
       -106.000          1.797            107
       -102.000          1.819            103
       -115.000          1.693            116
       -105.000          1.724            106
       -109.000          1.626            110
        -95.000          1.649             96
        -80.000          1.626             81
        -87.000          1.601             88
       -180.000          1.590            181
       -100.000          1.594            101
       -112.000          1.596            113
       -115.000          1.552            116
       -128.000          1.572            129
        -82.000          1.554             83
        -93.000          1.521             94
       -130.000          1.475            131
        -75.000          1.516             76
        -91.000          1.488             92
        -81.000          1.461             82
       -119.000          1.481            120
       -122.000          1.465            123
        -84.000          1.459             85
        -87.000          1.403             88
        -89.000          1.417             90
        -82.000          1.399             83
        -89.000          1.418             90
       -123.000          1.367            124
       -114.000          1.414            115
       -111.000          1.396            112
       -119.000          1.405            120
        -88.000          1.393             89
        -92.000          1.350             93
       -102.000          1.351            103
       -109.000          1.349            110
        -96.000          1.344             97
        -93.000          1.406             94
       -105.000          1.330            106
        -86.000          1.369             87
       -121.000          1.338            122
        -86.000          1.350             87
        -99.000          1.316            100
        -92.000          1.328             93
       -105.000          1.342            106
       -106.000          1.336            107
       -103.000          1.322            104
        -87.000          1.310             88
        -98.000          1.300             99
        -93.000          1.303             94
        -77.000          1.376             78
       -116.000          1.317            117
       -104.000          1.295            105
       -101.000          1.314            102
       -122.000          1.278            123
        -89.000          1.260             90
       -113.000          1.326            114
        -95.000          1.265             96
       -146.000          1.303            147
        -97.000          1.299             98
       -104.000          1.324            105
       -169.000          1.339            170
        -80.000          1.313             81
        -88.000          1.350             89
        -92.000          1.277             93
        -76.000          1.309             77
        -96.000          1.279             97
        -81.000          1.279             82
       -112.000          1.331            113
        -91.000          1.300             92
       -113.000          1.276            114
       -115.000          1.262            116
       -112.000          1.291            113
       -122.000          1.300            123
        -78.000          1.301             79
        -74.000          1.311             75
        -88.000          1.247             89
        -95.000          1.249             96
       -118.000          1.289            119
       -115.000          1.265            116
        -88.000          1.251             89
        -93.000          1.271             94
       -102.000          1.217            103
       -119.000          1.236            120
        -92.000          1.226             93
       -110.000          1.276            111
        -96.000          1.277             97
        -86.000          1.250             87
        -85.000          1.208             86
        -87.000          1.270             88
        -81.000          1.265             82
        -80.000          1.273             81
        -98.000          1.229             99
        -80.000          1.235             81
        -78.000          1.243             79
        -74.000          1.260             75
        -82.000          1.230             83
        -82.000          1.278             83
       -106.000          1.305            107
        -93.000          1.258             94
       -114.000          1.299            115
       -109.000          1.298            110
        -75.000          1.251             76
       -111.000          1.299            112
        -74.000          1.314             75
       -110.000          1.324            111
        -84.000          1.354             85
        -90.000          1.345             91
       -104.000          1.363            105
        -70.000          1.370             71
        -93.000          1.360             94
        -94.000          1.335             95
        -93.000          1.310             94
        -80.000          1.306             81
        -82.000          1.299             83
        -80.000          1.305             81
       -107.000          1.280            108
       -117.000          1.329            118
        -78.000          1.260             79
        -94.000          1.336             95
        -80.000          1.312             81
        -99.000          1.280            100
        -77.000          1.250             78
       -143.000          1.262            144
       -105.000          1.239            106
       -101.000          1.255            102
       -102.000          1.238            103
       -170.000          1.280            171
        -88.000          1.314             89
       -117.000          1.281            118
        -86.000          1.268             87
       -105.000          1.294            106
        -68.000          1.310             69
        -70.000          1.289             71
        -93.000          1.306             94
        -88.000          1.290             89
        -97.000          1.357             98
       -100.000          1.310            101
        -88.000          1.262             89
        -90.000          1.291             91
        -81.000          1.245             82
        -90.000          1.269             91
        -91.000          1.215             92
        -92.000          1.330             93
        -85.000          1.306             86
       -110.000          1.257            111
        -84.000          1.203             85
       -104.000          1.240            105
        -77.000          1.211             78
       -109.000          1.269            110
       -500.000          1.305            500
        -76.000          1.340             77
        -89.000          1.297             90
        -91.000          1.357             92
