 Episode    Step   Epsilon     MeanReward     MeanLength       MeanLoss     MeanQValue      TimeDelta                Time
       5    5000     0.995        -19.800        986.600          0.003         -0.003          0.014          9.624 2025-12-06T23:35:31
      10   10000     0.990        -20.000        960.000          0.006         -0.002          0.014          9.859 2025-12-06T23:35:41
      15   15000     0.985        -20.000        968.333          0.008         -0.005          0.009         52.118 2025-12-06T23:36:33
      20   20000     0.980        -19.950        967.550          0.009         -0.011          0.002         53.709 2025-12-06T23:37:27
      26   25000     0.975        -20.077        955.462          0.009         -0.019         -0.007         53.924 2025-12-06T23:38:21
      31   30000     0.970        -20.226        946.258          0.009         -0.024         -0.013         53.917 2025-12-06T23:39:14
      36   35000     0.965        -20.250        949.833          0.010         -0.030         -0.019         54.012 2025-12-06T23:40:08
      42   40000     0.960        -20.262        947.381          0.010         -0.035         -0.025         55.372 2025-12-06T23:41:04
      47   45000     0.955        -20.298        941.277          0.010         -0.041         -0.031         55.394 2025-12-06T23:41:59
      53   50000     0.951        -20.340        933.358          0.010         -0.047         -0.037         57.819 2025-12-06T23:42:57
      58   55000     0.946        -20.293        936.621          0.010         -0.052         -0.043         56.522 2025-12-06T23:43:54
      64   60000     0.941        -20.266        937.219          0.010         -0.058         -0.049         54.327 2025-12-06T23:44:48
      69   65000     0.936        -20.275        932.768          0.011         -0.064         -0.055         54.364 2025-12-06T23:45:42
      75   70000     0.931        -20.227        932.347          0.011         -0.069         -0.061         54.170 2025-12-06T23:46:36
      80   75000     0.926        -20.250        930.375          0.011         -0.074         -0.066         54.431 2025-12-06T23:47:31
      85   80000     0.921        -20.259        932.435          0.011         -0.079         -0.071         54.087 2025-12-06T23:48:25
      91   85000     0.916        -20.253        931.264          0.011         -0.085         -0.077         55.045 2025-12-06T23:49:20
      96   90000     0.911        -20.260        928.229          0.011         -0.090         -0.081         54.383 2025-12-06T23:50:14
     102   95000     0.906        -20.280        925.220          0.011         -0.097         -0.089         54.252 2025-12-06T23:51:09
     107  100000     0.901        -20.270        924.640          0.011         -0.106         -0.099         54.264 2025-12-06T23:52:03
