         Reward           Loss         Length
       -500.000          0.393            500
       -500.000          0.009            500
       -500.000          0.010            500
       -500.000          0.016            500
       -500.000          0.020            500
       -500.000          0.037            500
       -500.000          0.026            500
       -500.000          0.035            500
       -294.000          0.077            295
       -439.000          0.101            440
       -457.000          0.144            458
       -477.000          0.151            478
       -216.000          0.182            217
       -302.000          0.219            303
       -429.000          0.225            430
       -362.000          0.246            363
       -152.000          0.233            153
       -359.000          0.293            360
       -193.000          0.298            194
       -223.000          0.313            224
       -141.000          0.376            142
       -237.000          0.331            238
       -192.000          0.402            193
       -249.000          0.405            250
       -245.000          0.413            246
       -144.000          0.401            145
       -182.000          0.457            183
       -296.000          0.493            297
       -138.000          0.533            139
       -129.000          0.467            130
       -145.000          0.563            146
       -183.000          0.550            184
       -171.000          0.607            172
       -165.000          0.605            166
       -114.000          0.641            115
       -153.000          0.589            154
       -162.000          0.736            163
       -156.000          0.728            157
       -192.000          0.714            193
       -230.000          0.665            231
       -174.000          0.732            175
       -181.000          0.827            182
       -153.000          0.871            154
       -187.000          0.855            188
       -161.000          0.854            162
       -164.000          0.823            165
       -133.000          0.893            134
       -170.000          0.945            171
       -172.000          0.944            173
       -197.000          1.006            198
       -120.000          0.930            121
       -500.000          1.030            500
       -189.000          1.135            190
       -161.000          1.083            162
       -137.000          1.060            138
       -169.000          0.994            170
       -139.000          1.129            140
       -126.000          1.244            127
       -172.000          1.194            173
       -171.000          1.199            172
       -164.000          1.129            165
       -173.000          1.231            174
       -160.000          1.330            161
       -184.000          1.175            185
       -133.000          1.309            134
       -106.000          1.231            107
       -106.000          1.363            107
       -144.000          1.154            145
       -178.000          1.350            179
       -124.000          1.356            125
       -137.000          1.374            138
       -189.000          1.296            190
       -137.000          1.325            138
       -120.000          1.522            121
       -213.000          1.384            214
       -133.000          1.394            134
       -129.000          1.543            130
       -107.000          1.525            108
        -99.000          1.527            100
       -129.000          1.446            130
       -132.000          1.498            133
       -112.000          1.521            113
       -112.000          1.444            113
       -102.000          1.533            103
       -107.000          1.463            108
       -109.000          1.539            110
        -99.000          1.432            100
       -116.000          1.702            117
       -105.000          1.598            106
       -124.000          1.534            125
       -110.000          1.469            111
       -114.000          1.657            115
       -129.000          1.677            130
       -130.000          1.544            131
       -114.000          1.676            115
       -125.000          1.555            126
        -95.000          1.541             96
       -129.000          1.541            130
       -149.000          1.535            150
       -131.000          1.555            132
       -107.000          1.549            108
        -90.000          1.511             91
       -133.000          1.468            134
       -148.000          1.480            149
       -173.000          1.654            174
       -132.000          1.551            133
       -135.000          1.749            136
       -128.000          1.543            129
       -143.000          1.646            144
       -152.000          1.732            153
       -106.000          1.638            107
       -162.000          1.803            163
       -165.000          1.732            166
       -105.000          1.703            106
        -93.000          1.668             94
       -104.000          1.602            105
       -116.000          1.716            117
       -132.000          1.596            133
       -123.000          1.732            124
       -129.000          1.827            130
        -82.000          1.593             83
       -114.000          1.633            115
       -127.000          1.810            128
       -103.000          1.491            104
       -112.000          1.531            113
       -105.000          1.620            106
       -119.000          1.766            120
        -83.000          1.685             84
       -119.000          1.710            120
