         Reward           Loss         Length
       -200.000          0.147            200
       -200.000          0.001            200
       -200.000          0.002            200
       -200.000          0.006            200
       -200.000          0.010            200
       -200.000          0.014            200
       -200.000          0.018            200
       -200.000          0.021            200
       -200.000          0.028            200
       -200.000          0.028            200
       -200.000          0.033            200
       -200.000          0.041            200
       -200.000          0.046            200
       -200.000          0.058            200
       -200.000          0.054            200
       -200.000          0.057            200
       -200.000          0.061            200
       -200.000          0.062            200
       -200.000          0.082            200
       -200.000          0.068            200
       -200.000          0.073            200
       -200.000          0.074            200
       -200.000          0.080            200
       -200.000          0.103            200
       -200.000          0.102            200
       -200.000          0.097            200
       -200.000          0.096            200
       -200.000          0.119            200
       -200.000          0.122            200
       -200.000          0.127            200
       -200.000          0.121            200
       -200.000          0.149            200
       -200.000          0.137            200
       -200.000          0.134            200
       -200.000          0.139            200
       -200.000          0.141            200
       -200.000          0.141            200
       -200.000          0.155            200
       -200.000          0.161            200
       -200.000          0.195            200
       -200.000          0.182            200
       -200.000          0.166            200
       -200.000          0.184            200
       -200.000          0.182            200
       -200.000          0.172            200
       -200.000          0.164            200
       -200.000          0.154            200
       -200.000          0.197            200
       -200.000          0.193            200
       -200.000          0.165            200
       -200.000          0.213            200
       -200.000          0.193            200
       -200.000          0.206            200
       -200.000          0.203            200
       -200.000          0.187            200
       -200.000          0.203            200
       -200.000          0.246            200
       -200.000          0.215            200
       -200.000          0.232            200
       -200.000          0.291            200
       -200.000          0.246            200
       -200.000          0.254            200
       -200.000          0.271            200
       -200.000          0.285            200
       -200.000          0.249            200
       -200.000          0.250            200
       -200.000          0.283            200
       -200.000          0.257            200
       -200.000          0.258            200
       -200.000          0.268            200
       -200.000          0.275            200
       -200.000          0.303            200
       -200.000          0.271            200
       -200.000          0.277            200
       -200.000          0.294            200
       -200.000          0.260            200
       -200.000          0.293            200
       -200.000          0.321            200
       -200.000          0.312            200
       -200.000          0.306            200
       -200.000          0.326            200
       -200.000          0.297            200
       -200.000          0.311            200
       -200.000          0.329            200
       -200.000          0.335            200
       -200.000          0.317            200
       -200.000          0.352            200
       -200.000          0.321            200
       -200.000          0.329            200
       -200.000          0.359            200
       -200.000          0.341            200
       -200.000          0.363            200
       -200.000          0.400            200
       -200.000          0.358            200
       -200.000          0.409            200
       -200.000          0.351            200
       -200.000          0.331            200
       -200.000          0.348            200
       -200.000          0.359            200
       -200.000          0.386            200
       -200.000          0.386            200
       -200.000          0.404            200
       -200.000          0.372            200
       -200.000          0.392            200
       -200.000          0.423            200
       -200.000          0.417            200
       -200.000          0.377            200
       -200.000          0.385            200
       -200.000          0.382            200
       -200.000          0.344            200
       -200.000          0.464            200
       -200.000          0.419            200
       -200.000          0.383            200
       -200.000          0.450            200
       -200.000          0.441            200
       -200.000          0.457            200
       -200.000          0.450            200
       -200.000          0.416            200
       -200.000          0.383            200
       -200.000          0.479            200
       -200.000          0.424            200
       -200.000          0.492            200
       -200.000          0.450            200
       -200.000          0.408            200
       -200.000          0.470            200
       -200.000          0.416            200
       -200.000          0.465            200
       -200.000          0.471            200
       -200.000          0.410            200
       -200.000          0.384            200
       -200.000          0.494            200
       -200.000          0.453            200
       -200.000          0.430            200
       -200.000          0.432            200
       -200.000          0.438            200
       -200.000          0.407            200
       -200.000          0.498            200
       -200.000          0.419            200
       -200.000          0.481            200
       -200.000          0.533            200
       -200.000          0.539            200
       -200.000          0.511            200
       -200.000          0.476            200
       -200.000          0.508            200
       -200.000          0.484            200
       -200.000          0.507            200
       -195.000          0.489            195
       -200.000          0.484            200
       -189.000          0.572            189
       -189.000          0.445            189
       -200.000          0.509            200
       -183.000          0.503            183
       -200.000          0.566            200
       -200.000          0.556            200
       -200.000          0.567            200
       -163.000          0.529            163
       -161.000          0.471            161
       -156.000          0.481            156
       -200.000          0.493            200
       -161.000          0.601            161
       -200.000          0.515            200
       -200.000          0.576            200
       -157.000          0.505            157
       -158.000          0.568            158
       -162.000          0.575            162
       -168.000          0.600            168
       -148.000          0.561            148
       -177.000          0.705            177
       -148.000          0.528            148
       -155.000          0.509            155
       -200.000          0.518            200
       -161.000          0.700            161
       -155.000          0.536            155
       -200.000          0.534            200
       -152.000          0.534            152
       -158.000          0.517            158
       -156.000          0.560            156
       -145.000          0.491            145
       -149.000          0.567            149
       -144.000          0.579            144
       -154.000          0.592            154
       -200.000          0.617            200
       -200.000          0.492            200
       -200.000          0.529            200
       -200.000          0.626            200
       -183.000          0.534            183
       -200.000          0.582            200
       -200.000          0.650            200
       -200.000          0.534            200
       -200.000          0.564            200
       -188.000          0.540            188
       -200.000          0.519            200
       -200.000          0.563            200
       -187.000          0.633            187
       -200.000          0.568            200
       -200.000          0.622            200
       -200.000          0.633            200
       -190.000          0.546            190
       -200.000          0.613            200
       -200.000          0.511            200
       -189.000          0.580            189
       -196.000          0.557            196
       -200.000          0.629            200
       -200.000          0.527            200
       -193.000          0.582            193
       -200.000          0.612            200
       -200.000          0.636            200
       -200.000          0.680            200
       -200.000          0.655            200
       -200.000          0.580            200
       -200.000          0.606            200
       -200.000          0.642            200
       -166.000          0.697            166
       -200.000          0.591            200
       -192.000          0.625            192
       -175.000          0.700            175
       -166.000          0.663            166
       -161.000          0.710            161
       -164.000          0.691            164
       -200.000          0.690            200
       -172.000          0.743            172
       -174.000          0.669            174
       -174.000          0.690            174
       -115.000          0.773            115
       -174.000          0.750            174
       -184.000          0.683            184
       -167.000          0.755            167
       -166.000          0.819            166
