         Reward           Loss         Length
         34.000          0.000             34
         24.000          0.000             24
         21.000          0.000             21
         11.000          0.000             11
         16.000          0.000             16
         34.000          4.748             34
         16.000          4.546             16
         21.000          4.247             21
         23.000          3.782             23
         40.000          2.894             40
         25.000          1.779             25
         27.000          1.096             27
         41.000          0.876             41
         16.000          0.828             16
         17.000          0.797             17
         17.000          0.853             17
         10.000          0.874             10
         16.000          0.947             16
         15.000          0.949             15
         91.000          0.843             91
         38.000          0.863             38
         55.000          0.967             55
         21.000          1.063             21
         79.000          1.175             79
        122.000          1.353            122
         26.000          1.554             26
         24.000          1.709             24
         32.000          1.794             32
         63.000          1.931             63
         11.000          2.198             11
        282.000          2.451            282
         36.000          2.798             36
         86.000          3.053             86
        107.000          3.214            107
        165.000          3.429            165
         45.000          3.535             45
         52.000          3.681             52
        122.000          3.857            122
        144.000          4.017            144
        324.000          4.107            324
        193.000          4.153            193
        139.000          4.076            139
        136.000          4.179            136
        267.000          4.175            267
        187.000          4.095            187
        384.000          4.147            384
        192.000          4.020            192
        225.000          3.990            225
        263.000          3.895            263
        190.000          3.850            190
        233.000          3.818            233
        257.000          3.704            257
        258.000          3.674            258
        279.000          3.549            279
        215.000          3.563            215
        206.000          3.442            206
        395.000          3.395            395
        216.000          3.296            216
        296.000          3.256            296
        280.000          3.179            280
        290.000          3.114            290
        236.000          3.079            236
        236.000          3.042            236
        234.000          2.928            234
        282.000          2.888            282
        198.000          2.801            198
        260.000          2.674            260
        352.000          2.660            352
        217.000          2.465            217
        229.000          2.445            229
        310.000          2.475            310
        406.000          1.943            406
        406.000          1.256            406
        338.000          0.884            338
        357.000          0.617            357
        261.000          0.434            261
        255.000          0.281            255
        314.000          0.206            314
        500.000          0.165            500
        500.000          0.161            500
        461.000          0.152            461
        434.000          0.160            434
        266.000          0.147            266
        500.000          0.166            500
        500.000          0.157            500
        500.000          0.181            500
        500.000          0.153            500
        500.000          0.127            500
        500.000          0.148            500
        500.000          0.127            500
        500.000          0.135            500
        276.000          0.137            276
        500.000          0.149            500
        500.000          0.153            500
        500.000          0.147            500
        500.000          0.136            500
