         Reward           Loss         Length
       -500.000          0.883            500
       -500.000          0.066            500
       -500.000          0.022            500
       -500.000          0.017            500
       -500.000          0.017            500
       -500.000          0.022            500
       -451.000          0.057            452
       -367.000          0.306            368
       -500.000          0.283            500
       -455.000          0.247            456
       -300.000          0.308            301
       -216.000          0.374            217
       -433.000          0.453            434
       -312.000          0.504            313
       -147.000          0.509            148
       -240.000          0.562            241
       -245.000          0.623            246
       -500.000          0.653            500
       -237.000          0.628            238
       -210.000          0.644            211
       -151.000          0.697            152
       -210.000          0.690            211
       -233.000          0.753            234
       -217.000          0.696            218
       -218.000          0.834            219
       -153.000          0.882            154
       -279.000          0.853            280
       -153.000          0.914            154
       -192.000          0.909            193
       -191.000          1.020            192
       -257.000          0.967            258
       -189.000          1.047            190
       -177.000          1.072            178
       -153.000          1.069            154
       -197.000          1.109            198
       -202.000          1.231            203
       -113.000          1.380            114
       -189.000          1.235            190
       -143.000          1.260            144
       -145.000          1.332            146
       -143.000          1.337            144
       -134.000          1.487            135
       -222.000          1.384            223
       -189.000          1.634            190
       -235.000          1.555            236
       -146.000          1.628            147
       -172.000          1.726            173
       -158.000          1.802            159
       -175.000          1.787            176
       -167.000          1.756            168
       -127.000          1.777            128
       -155.000          1.865            156
       -141.000          1.938            142
       -108.000          1.823            109
       -130.000          2.154            131
       -130.000          2.078            131
       -107.000          2.054            108
       -157.000          2.120            158
       -133.000          2.248            134
       -136.000          2.153            137
        -99.000          1.970            100
       -131.000          2.186            132
       -170.000          2.231            171
       -129.000          2.340            130
       -140.000          2.236            141
       -209.000          2.297            210
       -134.000          2.314            135
        -98.000          2.283             99
       -137.000          2.329            138
       -123.000          2.312            124
       -172.000          2.460            173
       -144.000          2.356            145
       -123.000          2.314            124
       -155.000          2.295            156
        -99.000          2.511            100
       -144.000          2.416            145
       -132.000          2.413            133
       -153.000          2.347            154
       -120.000          2.416            121
       -118.000          2.573            119
       -142.000          2.409            143
       -106.000          2.517            107
       -153.000          2.518            154
       -106.000          2.405            107
       -137.000          2.450            138
       -130.000          2.515            131
       -144.000          2.604            145
       -139.000          2.388            140
       -121.000          2.578            122
       -110.000          2.449            111
       -143.000          2.427            144
       -149.000          2.435            150
       -119.000          2.436            120
       -123.000          2.428            124
       -121.000          2.291            122
       -127.000          2.402            128
       -105.000          2.356            106
       -118.000          2.392            119
        -74.000          2.274             75
       -101.000          2.316            102
       -133.000          2.339            134
       -107.000          2.368            108
       -143.000          2.319            144
       -120.000          2.247            121
       -129.000          2.279            130
       -125.000          2.188            126
       -102.000          2.315            103
