         Reward           Loss         Length
         34.000          0.000             34
         24.000          0.000             24
         21.000          0.000             21
         11.000          0.000             11
         16.000          0.000             16
         34.000          0.438             34
         16.000          0.288             16
         21.000          0.127             21
         28.000          0.026             28
         23.000          0.011             23
         14.000          0.010             14
         13.000          0.008             13
         19.000          0.007             19
         16.000          0.006             16
         28.000          0.008             28
         24.000          0.008             24
         12.000          0.011             12
         13.000          0.012             13
         23.000          0.013             23
         14.000          0.016             14
         11.000          0.020             11
         11.000          0.018             11
         31.000          0.024             31
         21.000          0.022             21
         15.000          0.028             15
         26.000          0.029             26
         16.000          0.036             16
         10.000          0.039             10
         16.000          0.041             16
         18.000          0.034             18
         17.000          0.041             17
         20.000          0.048             20
         68.000          0.049             68
         28.000          0.057             28
         30.000          0.058             30
         21.000          0.049             21
         12.000          0.055             12
         13.000          0.061             13
         28.000          0.065             28
         19.000          0.063             19
         14.000          0.069             14
         12.000          0.067             12
         26.000          0.069             26
         14.000          0.075             14
         14.000          0.078             14
         29.000          0.081             29
         16.000          0.077             16
         21.000          0.081             21
         24.000          0.078             24
         17.000          0.086             17
         22.000          0.089             22
         84.000          0.090             84
        101.000          0.090            101
         30.000          0.104             30
         21.000          0.101             21
         46.000          0.094             46
         97.000          0.106             97
         72.000          0.107             72
         45.000          0.107             45
        123.000          0.105            123
        143.000          0.119            143
        117.000          0.121            117
        149.000          0.125            149
        152.000          0.134            152
         92.000          0.122             92
        135.000          0.154            135
        155.000          0.152            155
        264.000          0.139            264
        150.000          0.145            150
        102.000          0.144            102
        185.000          0.162            185
        227.000          0.169            227
         77.000          0.170             77
        213.000          0.172            213
        219.000          0.192            219
        147.000          0.191            147
        158.000          0.192            158
        216.000          0.193            216
        229.000          0.190            229
        247.000          0.179            247
        230.000          0.214            230
        289.000          0.197            289
        169.000          0.179            169
        221.000          0.182            221
        163.000          0.189            163
        268.000          0.200            268
        232.000          0.187            232
        148.000          0.200            148
        237.000          0.190            237
        361.000          0.208            361
        180.000          0.205            180
        150.000          0.221            150
        170.000          0.225            170
        167.000          0.202            167
        141.000          0.217            141
        117.000          0.208            117
